SalePrice,id
132670.3648437709,1461
161006.24996275222,1462
165263.7498785316,1463
188116.160759603,1464
209750.06198107972,1465
181369.77524292213,1466
165752.26449661842,1467
173533.22581336432,1468
183372.99839128874,1469
122512.20037477411,1470
191196.12027222218,1471
100654.36393021546,1472
103877.95817160103,1473
167412.04289435153,1474
153274.54703716235,1475
356329.07898989634,1476
250281.8677857502,1477
301671.8609900585,1478
299677.6922472801,1479
375938.93381462415,1480
328658.46033169824,1481
209578.7323729174,1482
183191.20445459435,1483
179675.2546314091,1484
163846.3743117088,1485
206881.2439219437,1486
372587.45338062366,1487
244127.823147686,1488
199281.78229606058,1489
181657.29809985356,1490
191122.06104269272,1491
105009.77608547088,1492
167411.16975036173,1493
305187.55793900625,1494
303369.2496525325,1495
219407.54648499447,1496
205821.73325689416,1497
156441.42774985847,1498
155398.22151022297,1499
153457.75037590173,1500
173778.52003593277,1501
152747.75950738374,1502
267815.57192937646,1503
228105.31396514317,1504
222132.05335459817,1505
183620.64951137398,1506
224213.08452893407,1507
194227.9244017063,1508
170355.99560017014,1509
156957.32685310618,1510
156338.54075377088,1511
181623.20468113708,1512
161575.52551280352,1513
140787.08601516794,1514
161111.25392939054,1515
155619.29122341415,1516
144267.2470038994,1517
164066.0749495373,1518
213846.5340190959,1519
140286.6125348023,1520
153936.1067388294,1521
168132.76913495103,1522
121874.31791436547,1523
127908.09623518531,1524
130095.77556381475,1525
121104.67647692711,1526
100997.34190281057,1527
123476.31565267908,1528
154431.70961393643,1529
159289.97573764008,1530
114881.48051330782,1531
99492.77779926913,1532
159511.87702254322,1533
116332.74494769554,1534
141753.74162036306,1535
120184.50386825076,1536
70963.65625233343,1537
179149.60310979513,1538
218561.62320757713,1539
117072.69307465319,1540
142445.13113086784,1541
140697.22826196227,1542
235164.84005076735,1543
73892.64131143014,1544
102030.69794906976,1545
124255.21138983301,1546
125367.42981257814,1547
129641.33665646506,1548
109915.06587435996,1549
145074.27455607886,1550
117244.56705416368,1551
129424.0107930668,1552
127055.30801598055,1553
116048.24202370654,1554
165000.7436271415,1555
97586.73493634776,1556
120011.37657779509,1557
93850.83950830782,1558
104261.81423636468,1559
136568.3571256412,1560
141893.5046068416,1561
122393.06519063686,1562
116463.81820070672,1563
170765.58257459116,1564
156783.6741181282,1565
199253.90587584797,1566
73617.72638604126,1567
216419.33597757062,1568
127330.81479478834,1569
126408.96302140491,1570
119692.23087243192,1571
147783.80472266453,1572
235326.00334572172,1573
160820.71957131062,1574
200085.29646452432,1575
199095.47382026113,1576
197291.0434634817,1577
143454.1407693219,1578
134705.7881761348,1579
190961.26215152466,1580
133408.46776329426,1581
127835.06635143771,1582
337159.3951438541,1583
253118.48656890765,1584
137567.31120912393,1585
66052.58181712062,1586
103234.91035198732,1587
153505.21954654346,1588
101465.4613675369,1589
135465.2444329242,1590
111447.09163784061,1591
118084.72302614414,1592
122182.1138729219,1593
132448.41544825537,1594
130932.69866295584,1595
279427.53668502375,1596
164097.88134639987,1597
172869.22369704596,1598
190957.17766411207,1599
191167.85679915437,1600
70554.6804317994,1601
118708.15195062048,1602
87958.02312517438,1603
271635.4110666389,1604
246359.5788498375,1605
177972.52800058643,1606
202098.27142178564,1607
200100.77765793115,1608
191583.02666149425,1609
153813.17442592158,1610
153945.92472024533,1611
188279.3981475577,1612
172596.79805499857,1613
117984.26861981212,1614
87778.3462537202,1615
87778.3462537202,1616
91388.29842684306,1617
127150.43248545707,1618
133879.4301865174,1619
179390.0011881545,1620
140984.47792304697,1621
138932.43833521724,1622
254854.01614405386,1623
203812.77428393826,1624
129555.89858465118,1625
171915.55432887372,1626
180792.0956774111,1627
263213.5315728366,1628
171105.42336752286,1629
338947.9487813393,1630
224284.5922645709,1631
246749.07595223648,1632
163274.07979980204,1633
179824.3072326427,1634
171977.58337390475,1635
172419.26461744297,1636
173674.49486420728,1637
223668.48774341182,1638
180694.79579143602,1639
252548.31767400136,1640
180829.69284776156,1641
229232.1028937501,1642
231970.65592828926,1643
221904.0641173564,1644
171368.95499578657,1645
148384.64364098362,1646
167333.9722634669,1647
152169.84163003857,1648
133628.01506455764,1649
116510.32033385872,1650
119017.57431731194,1651
100820.18039623479,1652
104349.0692468651,1653
171808.07419887724,1654
161255.41306431222,1655
164962.39907400552,1656
169878.16727268824,1657
164247.6442349787,1658
152220.88219672124,1659
140141.57274291743,1660
368247.0525119407,1661
349575.9170575285,1662
344254.02638496895,1663
388487.8756120545,1664
309059.89600667503,1665
277417.3266361178,1666
321171.09312952776,1667
317437.02487654873,1668
272980.27603322605,1669
310623.61650380434,1670
256376.20230802,1671
375853.00613315526,1672
